rebarYieldCurvature	coreOneThirdCrushCurvature	coreTwoThirdCrushCurvature	ultimateCurvature
0.003278	0.015079	0.032452	0.047859
0.002035	0.0063085	0.016484	0.026048
0.0027369	0.009123	0.019766	0.029498
0.0032328	0.014009	0.029454	0.043463
0.0023337	0.0070011	0.015558	0.023337
0.001799	0.005397	0.013492	0.021228
0.0019917	0.0053112	0.012835	0.019474
0.0017523	0.0048675	0.010514	0.014992
0.0022072	0.010208	0.022348	0.032832
0.0008591	0.0036707	0.0098406	0.014527
0.0011374	0.004136	0.01034	0.0152
0.0012933	0.0047421	0.0097716	0.012646
0.0038115	0.016516	0.035574	0.05209
0.002148	0.009666	0.023198	0.034798
0.0036968	0.034195	0.069315	0.10259
0.001513	0.0052955	0.013314	0.01982
0.0008118	0.0031734	0.0084132	0.013136
0.00095813	0.0035389	0.0090867	0.012981
0.003138	0.011924	0.027301	0.040794
0.001611	0.0051552	0.012566	0.019171
0.0016587	0.0049545	0.011137	0.013722
0.0017991	0.0063968	0.014193	0.021189
0.0008272	0.0025568	0.0065424	0.010152
0.001609	0.008045	0.01786	0.026548
0.0025821	0.014919	0.029264	0.043035
0.0028314	0.011011	0.022651	0.033662
0.0015435	0.0060025	0.013206	0.019551
0.0007368	0.0036226	0.0093942	0.014675
0.0022856	0.013142	0.025999	0.038569
0.001677	0.0065403	0.015932	0.02331
0.0037881	0.017257	0.036618	0.055138
0.00084858	0.0029539	0.0077661	0.010892
0.0026505	0.010896	0.023855	0.03534
0.002064	0.01032	0.023942	0.035914
0.0029421	0.010134	0.022556	0.034325
0.0020925	0.0067425	0.016275	0.024645
0.00143	0.005148	0.012155	0.017589
0.0030512	0.025935	0.052252	0.077043
0.0025384	0.018086	0.03522	0.05172
0.001636	0.0063804	0.015051	0.023068
0.0007397	0.0029019	0.0075108	0.010185
0.0004305	0.0030135	0.0082943	0.0085813
0.0033633	0.023917	0.049328	0.073245
0.0026082	0.020866	0.042021	0.061727
0.001632	0.0058752	0.014035	0.020563
0.001733	0.0058922	0.014384	0.021489
0.001759	0.0068601	0.015831	0.023571
0.0015795	0.005616	0.012987	0.01913
0.001604	0.0078596	0.019408	0.029995
0.0022572	0.0090288	0.020816	0.031601
0.0027486	0.018019	0.035121	0.051613
0.0029232	0.01827	0.037271	0.055906
0.002651	0.011134	0.024389	0.035523
0.0012519	0.0033384	0.0080678	0.012658
0.0036054	0.014822	0.030846	0.045668
0.001979	0.0061349	0.01227	0.01603
0.0022257	0.0071717	0.01558	0.022257
0.0013229	0.0029871	0.0078945	0.012674
0.0020781	0.0073888	0.016625	0.025168
0.002556	0.00852	0.018176	0.025844
0.0013968	0.0045396	0.012222	0.019788
0.00139	0.003614	0.008896	0.013761
0.0020427	0.0061281	0.016527	0.026184
0.0031336	0.024677	0.048962	0.070506
0.0013508	0.0044208	0.01142	0.017315
0.001101	0.0039636	0.0092484	0.013432
0.0012564	0.0046068	0.01047	0.014798
0.0026217	0.013109	0.027674	0.041365
0.001523	0.0048736	0.011423	0.017362
0.002961	0.016779	0.033558	0.049679
0.0029808	0.013579	0.029477	0.04405
0.00115	0.003795	0.0092	0.013915
0.0008712	0.0026136	0.0065736	0.010454
0.0015039	0.005013	0.01153	0.015874
0.001386	0.0040425	0.010857	0.016401
0.0017343	0.0088642	0.019848	0.029868
0.00216	0.006264	0.014688	0.021816
0.001953	0.005642	0.013237	0.019313
0.003452	0.02589	0.051348	0.076375
0.0029367	0.013705	0.028388	0.04144
0.0032949	0.016474	0.035146	0.051986
0.0014814	0.0059256	0.013003	0.018764
0.0019026	0.0065534	0.015432	0.023677
0.002205	0.01127	0.025725	0.038465
